0.000000,0.000000
0.050000,0.625809
0.100000,0.788013
0.150000,0.825223
0.200000,0.832955
0.250000,0.829649
0.300000,0.830647
0.350000,0.827559
0.400000,0.828119
0.450000,0.826248
0.500000,0.827655
0.550000,-0.346072
0.600000,-0.752742
0.650000,-0.894727
0.700000,-0.943195
0.750000,-0.961472
0.800000,-0.965980
0.850000,-0.969190
0.900000,-0.969381
0.950000,-0.970092
1.000000,-0.969013
1.050000,-0.970625
1.100000,-0.969436
1.150000,-0.969750
1.200000,-0.969409
1.250000,-0.970297
1.300000,-0.969245
1.350000,-0.971075
1.400000,-0.969299
1.450000,-0.970761
1.500000,-0.968425
1.550000,-0.970584
1.600000,-0.969381
1.650000,-0.969819
1.700000,-0.969095
1.750000,-0.970707
1.800000,-0.968767
1.850000,-0.970966
1.900000,-0.969477
1.950000,-0.970829
2.000000,-0.969750
2.050000,-0.971034
2.100000,-0.969258
2.150000,-0.970980
2.200000,0.201518
2.250000,0.608474
2.300000,0.750597
2.350000,0.799241
2.400000,0.818393
2.450000,0.822095
2.500000,0.826289
2.550000,0.825128
2.600000,0.827013
2.650000,0.825579
2.700000,0.827313
2.750000,0.826275
2.800000,0.826958
2.850000,0.826016
2.900000,0.827204
2.950000,0.826016
3.000000,0.827874
3.050000,0.826426
3.100000,0.827655
3.150000,0.826562
3.200000,0.827477
3.250000,0.826398
3.300000,-0.344419
3.350000,-0.753588
3.400000,-0.893539
3.450000,-0.943290
3.500000,-0.959587
3.550000,-0.968193
3.600000,-0.968972
3.650000,-0.970133
3.700000,-0.968466
3.750000,-0.970365
3.800000,-0.969518
3.850000,0.200439
3.900000,0.610209
3.950000,0.750078
4.000000,0.800362
4.050000,0.816167
4.100000,0.824076
4.150000,0.824950
4.200000,0.826658
4.250000,0.826371
4.300000,0.827232
4.350000,0.825182
4.400000,0.826849
4.450000,0.825374
4.500000,0.827232
4.550000,0.824923
4.600000,0.827177
4.650000,0.826166
4.700000,0.827723
4.750000,0.825387
4.800000,0.827218
4.850000,0.825237
4.900000,0.826781
4.950000,-0.346332
5.000000,-0.752345
5.050000,-0.894864
5.100000,-0.942115
5.150000,-0.961540
5.200000,-0.965461
5.250000,-0.969846
5.300000,-0.968603
5.350000,-0.970515
5.400000,-0.968712
5.450000,-0.970379
5.500000,-0.969381
5.550000,-0.971171
5.600000,-0.969764
5.650000,-0.970638
5.700000,-0.968972
5.750000,-0.970215
5.800000,-0.969504
5.850000,-0.970720
5.900000,-0.968944
5.950000,-0.970256
6.000000,-0.968589
6.050000,-0.970843
6.100000,-0.969177
6.150000,-0.970529
6.200000,-0.969067
6.250000,-0.970911
6.300000,-0.969477
6.350000,-0.971144
6.400000,-0.969409
6.450000,-0.970898
6.500000,-0.969532
6.550000,-0.970775
6.600000,-0.969709
6.650000,-0.970966
6.700000,-0.969409
6.750000,-0.970980
6.800000,-0.969422
6.850000,-0.970925
6.900000,-0.970365
6.950000,-0.971185
7.000000,-0.969723
7.050000,-0.970652
7.100000,-0.969149
7.150000,0.202460
7.200000,0.611042
7.250000,0.750556
7.300000,0.800348
7.350000,0.816617
7.400000,0.823762
7.450000,0.824185
7.500000,0.826740
7.550000,0.825988
7.600000,0.827518
7.650000,0.825784
7.700000,-0.344556
7.750000,-0.753561
7.800000,-0.892583
7.850000,-0.944315
7.900000,-0.960311
7.950000,-0.968002
8.000000,-0.967961
8.050000,-0.968835
8.100000,-0.968207
8.150001,-0.969559
8.200000,-0.968412
8.250000,-0.969477
8.300000,-0.968330
8.350000,-0.971034
8.400001,-0.969518
8.450000,-0.970939
8.500000,-0.969696
8.550000,-0.970543
8.600000,-0.969258
8.650001,-0.970625
8.700000,-0.969559
8.750000,-0.970884
8.800000,0.202447
8.850000,0.609553
8.900001,0.751293
8.950000,0.798968
9.000000,0.818448
9.050000,0.822601
9.100000,0.826467
9.150001,0.824991
9.200000,0.826439
9.250000,0.825032
9.300000,0.826289
9.350000,0.824786
9.400001,0.826234
9.450000,0.826070
9.500000,0.827983
9.550000,0.826521
9.600000,0.827587
9.650001,0.825838
9.700000,0.827737
9.750000,0.826958
9.800000,0.827874
9.850000,0.825551
9.900001,0.827313
9.950000,0.826467
10.000000,0.828024
10.050000,0.826057
10.100000,0.827505
10.150001,0.825551
10.200000,0.826863
10.250000,0.825073
10.300000,0.827040
10.350000,0.826234
10.400001,0.827996
10.450000,0.825702
10.500000,0.827559
10.550000,0.826002
10.600000,0.826822
10.650001,0.824964
10.700000,0.826535
10.750000,0.825101
10.800000,0.827313
10.850000,0.826098
10.900001,0.827395
10.950000,0.825688
11.000000,-0.344624
11.050000,-0.754039
11.100000,-0.893129
11.150001,-0.944287
11.200000,-0.959846
11.250000,-0.967346
11.300000,-0.967606
11.350000,-0.970160
11.400001,-0.969887
11.450000,-0.971239
11.500000,-0.969887
11.550000,-0.971185
11.600000,-0.969518
11.650001,-0.970980
11.700000,-0.969422
11.750000,-0.971526
11.800000,-0.970228
11.850000,-0.970884
11.900001,-0.969258
11.950000,-0.969887
12.000000,-0.968302
12.050000,-0.970010
12.100000,-0.969354
12.150001,-0.970529
12.200000,-0.968862
12.250000,-0.970570
12.300000,-0.969299
12.350000,-0.969723
12.400001,-0.969040
12.450000,-0.970857
12.500000,-0.969136
12.550000,-0.970993
12.600000,-0.969258
12.650001,0.201409
12.700000,0.610523
12.750000,0.750897
12.800000,0.801618
12.850000,0.816932
12.900001,0.824704
12.950000,0.825073
13.000000,0.827546
13.050000,0.825169
13.100000,0.826275
13.150001,0.824978
13.200000,0.826849
13.250000,0.824213
13.300000,0.827409
13.350000,0.827150
13.400001,0.827614
13.450000,0.826385
13.500000,0.827546
13.550000,0.825988
13.600000,0.827833
13.650001,0.826535
13.700000,0.827915
13.750000,-0.346373
13.800000,-0.751840
13.850000,-0.894550
13.900001,-0.942662
13.950000,-0.962073
14.000000,-0.966690
14.050000,-0.970351
14.100000,-0.969436
14.150001,-0.971417
14.200000,-0.969422
14.250000,-0.970679
14.300000,0.202966
14.350000,0.609144
14.400001,0.751471
14.450000,0.799487
14.500000,0.818120
14.550000,0.822901
14.600000,0.826863
14.650001,0.825879
14.700000,0.827436
14.750000,0.825893
14.800000,0.827751
14.850000,-0.345635
14.900001,-0.752263
14.950000,-0.894413
15.000000,-0.942716
15.050000,-0.960352
15.100000,-0.965693
15.150001,-0.968890
15.200000,-0.968507
15.250000,-0.970474
15.300000,-0.968944
15.350000,-0.970939
15.400001,-0.969081
15.450000,-0.970693
15.500000,-0.968972
15.550000,-0.971499
15.600000,-0.969750
15.650001,-0.970338
15.700000,-0.968767
15.750000,-0.971007
15.800000,-0.969791
15.850000,-0.971294
15.900001,-0.969627
15.950000,0.201327
16.000000,0.610141
16.049999,0.749026
16.099998,0.800198
16.150000,0.816126
16.199999,0.823625
16.250000,0.825428
16.299999,0.827573
16.349998,0.826385
16.400000,0.827395
16.449999,0.826098
16.500000,-0.344405
16.549999,-0.753233
16.599998,-0.893184
16.650000,-0.943755
16.699999,-0.959751
16.750000,-0.966964
16.799999,-0.968029
16.849998,-0.969778
16.900000,-0.968958
16.949999,-0.970037
17.000000,-0.968985
17.049999,-0.969778
17.099998,-0.968521
17.150000,-0.970693
17.199999,-0.969299
17.250000,-0.970092
17.299999,-0.969026
17.349998,-0.970515
17.400000,-0.969218
17.449999,-0.970515
17.500000,-0.968890
17.549999,-0.971021
17.599998,-0.969778
17.650000,-0.970720
17.699999,-0.969518
17.750000,-0.971786
17.799999,-0.969928
17.849998,-0.971103
17.900000,-0.969532
17.949999,-0.970365
18.000000,-0.969299
18.049999,-0.971103
18.099998,-0.969095
18.150000,-0.970529
18.199999,-0.969668
18.250000,-0.969805
18.299999,-0.968494
18.349998,-0.970051
18.400000,-0.968780
18.449999,-0.969955
18.500000,-0.968999
18.549999,-0.970078
18.599998,-0.968944
18.650000,-0.969887
18.699999,-0.968575
18.750000,-0.970734
18.799999,-0.968903
18.849998,-0.970447
18.900000,-0.968671
18.949999,-0.970105
19.000000,-0.969067
19.049999,-0.970747
19.099998,-0.969545
19.150000,-0.971663
19.199999,-0.970338
19.250000,-0.970993
19.299999,-0.969054
19.349998,-0.970857
19.400000,-0.969860
19.449999,-0.971075
19.500000,-0.970187
19.549999,-0.971157
19.599998,-0.969040
19.650000,-0.969846
19.699999,-0.969286
19.750000,-0.970488
19.799999,0.202529
19.849998,0.609048
19.900000,0.750365
19.949999,0.798463
20.000000,0.818188
20.049999,0.822915
20.099998,0.827054
20.150000,0.826794
20.199999,0.828652
20.250000,0.826644
20.299999,0.827628
20.349998,-0.346687
20.400000,-0.752564
20.449999,-0.894318
20.500000,-0.942020
20.549999,-0.960857
20.599998,-0.966007
20.650000,-0.969450
20.699999,-0.968302
20.750000,-0.969709
20.799999,-0.968726
20.849998,-0.970597
20.900000,0.202529
20.949999,0.608939
21.000000,0.751334
21.049999,0.799392
21.099998,0.818639
21.150000,0.822109
21.199999,0.825852
21.250000,0.825292
21.299999,0.827477
21.349998,0.826303
21.400000,0.828160
21.449999,-0.345157
21.500000,-0.752031
21.549999,-0.894304
21.599998,-0.942238
21.650000,-0.961527
21.699999,-0.965871
21.750000,-0.969778
21.799999,-0.969395
21.849998,-0.970679
21.900000,-0.969054
21.949999,-0.970720
22.000000,0.202747
22.049999,0.608625
22.099998,0.751444
22.150000,0.799214
22.199999,0.818516
22.250000,0.822259
22.299999,0.826398
22.349998,0.825579
22.400000,0.826617
22.449999,0.826166
22.500000,0.827600
22.549999,0.826549
22.599998,0.827423
22.650000,0.825743
22.699999,0.827532
22.750000,0.825319
22.799999,0.826986
22.849998,0.825073
22.900000,0.827122
22.949999,0.826426
23.000000,0.828038
23.049999,0.825838
23.099998,-0.344446
23.150000,-0.754886
23.199999,-0.894058
23.250000,-0.944561
23.299999,-0.960297
23.349998,-0.966841
23.400000,-0.967933
23.449999,-0.970215
23.500000,-0.969545
23.549999,-0.970980
23.599998,-0.969805
23.650000,0.201135
23.699999,0.610346
23.750000,0.749121
23.799999,0.800252
23.849998,0.816126
23.900000,0.823653
23.949999,0.824745
24.000000,0.827382
24.049999,0.826289
24.099998,0.827792
24.150000,0.826521
24.199999,0.827901
24.250000,0.826753
24.299999,0.828106
24.349998,0.825975
24.400000,0.827273
24.449999,0.825879
24.500000,0.827546
24.549999,0.826480
24.599998,0.827915
24.650000,0.825456
24.699999,0.827723
24.750000,0.825305
24.799999,0.826767
24.849998,0.825128
24.900000,0.827477
24.949999,0.826371
25.000000,0.827682
25.049999,0.825087
25.099998,0.826494
25.150000,0.824609
25.199999,0.826849
25.250000,0.824814
25.299999,-0.344897
25.349998,-0.753766
25.400000,-0.892651
25.449999,-0.943659
25.500000,-0.959464
25.549999,-0.967086
25.599998,-0.968548
25.650000,-0.970338
25.699999,-0.968876
25.750000,-0.970898
25.799999,-0.969750
25.849998,0.200493
25.900000,0.610141
25.949999,0.750023
26.000000,0.800703
26.049999,0.816932
26.099998,0.824103
26.150000,0.824035
26.199999,0.826822
26.250000,0.826262
26.299999,0.827600
26.349998,0.826357
26.400000,0.827792
26.449999,0.825729
26.500000,0.826876
26.549999,0.825579
26.599998,0.827956
26.650000,0.826084
26.699999,0.827491
26.750000,0.826917
26.799999,0.828775
26.849998,0.826603
26.900000,0.827368
26.949999,0.825661
27.000000,0.826999
27.049999,0.825155
27.099998,0.826917
27.150000,0.826084
27.199999,0.827833
27.250000,0.825579
27.299999,0.827300
27.349998,0.825114
27.400000,0.826958
27.449999,0.825756
27.500000,0.827040
27.549999,0.825633
27.599998,0.827368
27.650000,0.826316
27.699999,0.827464
27.750000,0.825278
27.799999,0.826767
27.849998,0.825811
27.900000,0.827273
27.949999,0.825223
28.000000,0.827150
28.049999,-0.346332
28.099998,-0.752291
28.150000,-0.893566
28.199999,-0.941828
28.250000,-0.960967
28.299999,-0.965857
28.349998,-0.969709
28.400000,-0.968876
28.449999,-0.971007
28.500000,-0.968903
28.549999,-0.970433
28.599998,0.203171
28.650000,0.609034
28.699999,0.751649
28.750000,0.799720
28.799999,0.818748
28.849998,0.822450
28.900000,0.826303
28.949999,0.824964
29.000000,0.826945
29.049999,0.825606
29.099998,0.826945
29.150000,-0.346058
29.199999,-0.752619
29.250000,-0.895001
29.299999,-0.942484
29.349998,-0.960871
29.400000,-0.965529
29.449999,-0.968780
29.500000,-0.968289
29.549999,-0.970543
29.599998,-0.968644
29.650000,-0.970638
29.699999,-0.968780
29.750000,-0.969873
29.799999,-0.969067
29.849998,-0.970529
29.900000,-0.968767
29.949999,-0.970638
30.000000,-0.968630
30.049999,-0.970269
30.099998,-0.969054
30.150000,-0.970788
30.199999,-0.969791
30.250000,-0.971840
30.299999,-0.969559
30.349998,-0.970829
30.400000,-0.969518
30.449999,-0.970502
30.500000,-0.969258
30.549999,-0.970980
30.599998,-0.969805
30.650000,-0.971198
30.699999,-0.969368
30.750000,-0.970515
30.799999,-0.969436
30.849998,-0.970283
30.900000,-0.968890
30.949999,-0.970392
31.000000,-0.969108
31.049999,-0.970884
31.099998,-0.969054
31.150000,-0.970228
31.199999,-0.968903
31.250000,-0.970037
31.299999,-0.968671
31.349998,0.200808
31.400000,0.610359
31.449999,0.750296
31.500000,0.800949
31.549999,0.815934
31.599998,0.823407
31.650000,0.823926
31.699999,0.826808
31.750000,0.825934
31.799999,0.826453
31.849998,0.826152
31.900000,-0.344638
31.949999,-0.753493
32.000000,-0.892842
32.049999,-0.943959
32.099998,-0.959628
32.149998,-0.967401
32.200001,-0.967756
32.250000,-0.970228
32.299999,-0.968835
32.349998,-0.970502
32.399998,-0.968616
32.450001,-0.970310
32.500000,-0.968876
32.549999,-0.969313
32.599998,-0.968862
32.649998,-0.969668
32.700001,-0.968726
32.750000,-0.971294
32.799999,-0.969737
32.849998,-0.970529
32.899998,-0.969054
32.950001,-0.970023
33.000000,-0.969709
33.049999,-0.971048
33.099998,-0.969299
33.149998,-0.969914
33.200001,-0.968944
33.250000,-0.970351
33.299999,-0.968808
33.349998,-0.970747
33.399998,-0.969218
33.450001,-0.970010
33.500000,-0.969245
33.549999,0.200917
33.599998,0.609335
33.649998,0.749859
33.700001,0.800758
33.750000,0.817232
33.799999,0.824472
33.849998,0.825196
33.899998,0.826945
33.950001,0.826016
34.000000,0.827655
34.049999,0.826439
34.099998,-0.344419
34.149998,-0.753465
34.200001,-0.893211
34.250000,-0.943618
34.299999,-0.959696
34.349998,-0.967715
34.399998,-0.967920
34.450001,-0.970420
